Year,Series,Location,Value
2010,Proportion of population using basic drinking water services,Urban,100
2010,Proportion of population using basic drinking water services,,100
2010,Proportion of population using basic drinking water services,Rural,100
2011,Proportion of population using basic drinking water services,,100
2011,Proportion of population using basic drinking water services,Rural,100
2011,Proportion of population using basic drinking water services,Urban,100
2012,Proportion of population using basic drinking water services,Urban,100
2012,Proportion of population using basic drinking water services,Rural,100
2012,Proportion of population using basic drinking water services,,100
2013,Proportion of population using basic drinking water services,,100
2013,Proportion of population using basic drinking water services,Rural,100
2013,Proportion of population using basic drinking water services,Urban,100
2014,Proportion of population using basic drinking water services,,100
2014,Proportion of population using basic drinking water services,Urban,100
2014,Proportion of population using basic drinking water services,Rural,100
2015,Proportion of population using basic drinking water services,Rural,100
2015,Proportion of population using basic drinking water services,,100
2015,Proportion of population using basic drinking water services,Urban,100
2016,Proportion of population using basic drinking water services,Rural,100
2016,Proportion of population using basic drinking water services,,100
2016,Proportion of population using basic drinking water services,Urban,100
2017,Proportion of population using basic drinking water services,Urban,100
2017,Proportion of population using basic drinking water services,Rural,100
2017,Proportion of population using basic drinking water services,,100
2018,Proportion of population using basic drinking water services,Urban,100
2018,Proportion of population using basic drinking water services,Rural,100
2018,Proportion of population using basic drinking water services,,100
2019,Proportion of population using basic drinking water services,Urban,100
2019,Proportion of population using basic drinking water services,Rural,100
2019,Proportion of population using basic drinking water services,,100
2020,Proportion of population using basic drinking water services,Rural,100
2020,Proportion of population using basic drinking water services,Urban,100
2020,Proportion of population using basic drinking water services,,100
2021,Proportion of population using basic drinking water services,Rural,100
2021,Proportion of population using basic drinking water services,,100
2021,Proportion of population using basic drinking water services,Urban,100
2022,Proportion of population using basic drinking water services,Urban,100
2022,Proportion of population using basic drinking water services,,100
2022,Proportion of population using basic drinking water services,Rural,100
2000,Proportion of population using basic sanitation services,,99.96536
2000,Proportion of population using basic sanitation services,Rural,100
2000,Proportion of population using basic sanitation services,Urban,99.9625
2001,Proportion of population using basic sanitation services,,99.96526
2001,Proportion of population using basic sanitation services,Rural,100
2001,Proportion of population using basic sanitation services,Urban,99.9625
2002,Proportion of population using basic sanitation services,,99.96516
2002,Proportion of population using basic sanitation services,Urban,99.9625
2002,Proportion of population using basic sanitation services,Rural,100
2003,Proportion of population using basic sanitation services,,99.96506
2003,Proportion of population using basic sanitation services,Rural,100
2003,Proportion of population using basic sanitation services,Urban,99.9625
2004,Proportion of population using basic sanitation services,,99.96497
2004,Proportion of population using basic sanitation services,Rural,100
2004,Proportion of population using basic sanitation services,Urban,99.9625
2005,Proportion of population using basic sanitation services,,99.96488
2005,Proportion of population using basic sanitation services,Urban,99.9625
2005,Proportion of population using basic sanitation services,Rural,100
2006,Proportion of population using basic sanitation services,,99.96483
2006,Proportion of population using basic sanitation services,Rural,100
2006,Proportion of population using basic sanitation services,Urban,99.9625
2007,Proportion of population using basic sanitation services,Urban,99.9625
2007,Proportion of population using basic sanitation services,,99.9648
2007,Proportion of population using basic sanitation services,Rural,100
2008,Proportion of population using basic sanitation services,,99.96477
2008,Proportion of population using basic sanitation services,Rural,100
2008,Proportion of population using basic sanitation services,Urban,99.9625
2009,Proportion of population using basic sanitation services,Urban,99.9625
2009,Proportion of population using basic sanitation services,Rural,100
2009,Proportion of population using basic sanitation services,,99.96475
2010,Proportion of population using basic sanitation services,,99.96472
2010,Proportion of population using basic sanitation services,Urban,99.9625
2010,Proportion of population using basic sanitation services,Rural,100
2011,Proportion of population using basic sanitation services,Urban,99.9625
2011,Proportion of population using basic sanitation services,,99.96469
2011,Proportion of population using basic sanitation services,Rural,100
2012,Proportion of population using basic sanitation services,Rural,100
2012,Proportion of population using basic sanitation services,,99.96467
2012,Proportion of population using basic sanitation services,Urban,99.9625
2013,Proportion of population using basic sanitation services,,99.96464
2013,Proportion of population using basic sanitation services,Urban,99.9625
2013,Proportion of population using basic sanitation services,Rural,100
2014,Proportion of population using basic sanitation services,Rural,100
2014,Proportion of population using basic sanitation services,,99.96462
2014,Proportion of population using basic sanitation services,Urban,99.9625
2015,Proportion of population using basic sanitation services,Rural,100
2015,Proportion of population using basic sanitation services,,99.96459
2015,Proportion of population using basic sanitation services,Urban,99.9625
2016,Proportion of population using basic sanitation services,Rural,100
2016,Proportion of population using basic sanitation services,,99.96457
2016,Proportion of population using basic sanitation services,Urban,99.9625
2017,Proportion of population using basic sanitation services,,99.96455
2017,Proportion of population using basic sanitation services,Urban,99.9625
2017,Proportion of population using basic sanitation services,Rural,100
2018,Proportion of population using basic sanitation services,,99.96452
2018,Proportion of population using basic sanitation services,Rural,100
2018,Proportion of population using basic sanitation services,Urban,99.9625
2019,Proportion of population using basic sanitation services,,99.9645
2019,Proportion of population using basic sanitation services,Urban,99.9625
2019,Proportion of population using basic sanitation services,Rural,100
2020,Proportion of population using basic sanitation services,,99.96447
2020,Proportion of population using basic sanitation services,Rural,100
2020,Proportion of population using basic sanitation services,Urban,99.9625
2021,Proportion of population using basic sanitation services,,99.96445
2021,Proportion of population using basic sanitation services,Rural,100
2021,Proportion of population using basic sanitation services,Urban,99.9625
2022,Proportion of population using basic sanitation services,Urban,99.9625
2022,Proportion of population using basic sanitation services,,99.96442
2022,Proportion of population using basic sanitation services,Rural,100
