Year,Value,Series
2010,12.3,Proportion of women aged 15-49 years with anaemia (%)
2011,12.2,Proportion of women aged 15-49 years with anaemia (%)
2012,12.3,Proportion of women aged 15-49 years with anaemia (%)
2013,12.3,Proportion of women aged 15-49 years with anaemia (%)
2014,12.4,Proportion of women aged 15-49 years with anaemia (%)
2015,12.6,Proportion of women aged 15-49 years with anaemia (%)
2016,12.7,Proportion of women aged 15-49 years with anaemia (%)
2017,13.0,Proportion of women aged 15-49 years with anaemia (%)
2018,13.3,Proportion of women aged 15-49 years with anaemia (%)
2019,13.7,Proportion of women aged 15-49 years with anaemia (%)
2010,12.1,Proportion of women aged 15-49 years with anaemia non-pregnant (%)
2011,12.1,Proportion of women aged 15-49 years with anaemia non-pregnant (%)
2012,12.1,Proportion of women aged 15-49 years with anaemia non-pregnant (%)
2013,12.2,Proportion of women aged 15-49 years with anaemia non-pregnant (%)
2014,12.2,Proportion of women aged 15-49 years with anaemia non-pregnant (%)
2015,12.4,Proportion of women aged 15-49 years with anaemia non-pregnant (%)
2016,12.6,Proportion of women aged 15-49 years with anaemia non-pregnant (%)
2017,12.8,Proportion of women aged 15-49 years with anaemia non-pregnant (%)
2018,13.2,Proportion of women aged 15-49 years with anaemia non-pregnant (%)
2019,13.6,Proportion of women aged 15-49 years with anaemia non-pregnant (%)
2010,18.7,Proportion of women aged 15-49 years with anaemia pregnant (%)
2011,18.6,Proportion of women aged 15-49 years with anaemia pregnant (%)
2012,18.5,Proportion of women aged 15-49 years with anaemia pregnant (%)
2013,18.6,Proportion of women aged 15-49 years with anaemia pregnant (%)
2014,18.5,Proportion of women aged 15-49 years with anaemia pregnant (%)
2015,18.6,Proportion of women aged 15-49 years with anaemia pregnant (%)
2016,18.6,Proportion of women aged 15-49 years with anaemia pregnant (%)
2017,18.7,Proportion of women aged 15-49 years with anaemia pregnant (%)
2018,18.9,Proportion of women aged 15-49 years with anaemia pregnant (%)
2019,19.0,Proportion of women aged 15-49 years with anaemia pregnant (%)
