Year,Value,Series
2010,2,Number of local breeds kept in the country
2011,2,Number of local breeds kept in the country
2012,2,Number of local breeds kept in the country
2013,2,Number of local breeds kept in the country
2014,2,Number of local breeds kept in the country
2015,2,Number of local breeds kept in the country
2016,2,Number of local breeds kept in the country
2017,2,Number of local breeds kept in the country
2018,2,Number of local breeds kept in the country
2019,2,Number of local breeds kept in the country
2020,2,Number of local breeds kept in the country
2021,2,Number of local breeds kept in the country
2022,2,Number of local breeds kept in the country
2023,3,Number of local breeds kept in the country
2010,5,Number of transboundary breeds (including extinct ones)
2011,5,Number of transboundary breeds (including extinct ones)
2012,5,Number of transboundary breeds (including extinct ones)
2013,5,Number of transboundary breeds (including extinct ones)
2014,5,Number of transboundary breeds (including extinct ones)
2015,5,Number of transboundary breeds (including extinct ones)
2016,5,Number of transboundary breeds (including extinct ones)
2017,5,Number of transboundary breeds (including extinct ones)
2018,5,Number of transboundary breeds (including extinct ones)
2019,5,Number of transboundary breeds (including extinct ones)
2020,5,Number of transboundary breeds (including extinct ones)
2021,5,Number of transboundary breeds (including extinct ones)
2022,5,Number of transboundary breeds (including extinct ones)
2023,7,Number of transboundary breeds (including extinct ones)
2023,0,Number of local breeds for which sufficient genetic resources are stored for reconstitution
2010,9,Plant genetic resources accessions stored ex situ (number)
2012,11,Plant genetic resources accessions stored ex situ (number)
2014,66,Plant genetic resources accessions stored ex situ (number)
2016,94,Plant genetic resources accessions stored ex situ (number)
2017,105,Plant genetic resources accessions stored ex situ (number)
2018,121,Plant genetic resources accessions stored ex situ (number)
2019,125,Plant genetic resources accessions stored ex situ (number)
2020,127,Plant genetic resources accessions stored ex situ (number)
2021,127,Plant genetic resources accessions stored ex situ (number)
2022,127,Plant genetic resources accessions stored ex situ (number)
