Year,Value,Series
2010,0.44,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2011,0.0,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2012,0.29,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2013,0.29,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2014,0.0,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2015,0.3,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2016,0.3,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2017,0.1,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2018,0.1,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2019,0.09,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2020,0.09,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2021,0.0,"Adolescent birth rate (per 1,000 women aged 10-14 years)"
2010,18.87,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2011,17.15,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2012,17.11,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2013,13.54,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2014,13.23,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2015,11.41,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2016,13.07,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2017,12.45,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2018,12.04,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2019,11.88,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2020,11.04,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
2021,10.19,"Adolescent birth rate (per 1,000 women aged 15-19 years)"
