Year,Series,Value
2010,Number of local breeds kept in the country,2
2011,Number of local breeds kept in the country,2
2012,Number of local breeds kept in the country,2
2013,Number of local breeds kept in the country,2
2014,Number of local breeds kept in the country,2
2015,Number of local breeds kept in the country,2
2016,Number of local breeds kept in the country,2
2017,Number of local breeds kept in the country,2
2018,Number of local breeds kept in the country,2
2019,Number of local breeds kept in the country,2
2020,Number of local breeds kept in the country,2
2021,Number of local breeds kept in the country,2
2022,Number of local breeds kept in the country,2
2023,Number of local breeds kept in the country,3
2010,Number of transboundary breeds (including extinct ones),5
2011,Number of transboundary breeds (including extinct ones),5
2012,Number of transboundary breeds (including extinct ones),5
2013,Number of transboundary breeds (including extinct ones),5
2014,Number of transboundary breeds (including extinct ones),5
2015,Number of transboundary breeds (including extinct ones),5
2016,Number of transboundary breeds (including extinct ones),5
2017,Number of transboundary breeds (including extinct ones),5
2018,Number of transboundary breeds (including extinct ones),5
2019,Number of transboundary breeds (including extinct ones),5
2020,Number of transboundary breeds (including extinct ones),5
2021,Number of transboundary breeds (including extinct ones),5
2022,Number of transboundary breeds (including extinct ones),5
2023,Number of transboundary breeds (including extinct ones),7
2023,Number of local breeds for which sufficient genetic resources are stored for reconstitution,0
2010,Plant genetic resources accessions stored ex situ (number),9
2012,Plant genetic resources accessions stored ex situ (number),11
2014,Plant genetic resources accessions stored ex situ (number),66
2016,Plant genetic resources accessions stored ex situ (number),94
2017,Plant genetic resources accessions stored ex situ (number),105
2018,Plant genetic resources accessions stored ex situ (number),121
2019,Plant genetic resources accessions stored ex situ (number),125
2020,Plant genetic resources accessions stored ex situ (number),127
2021,Plant genetic resources accessions stored ex situ (number),127
2022,Plant genetic resources accessions stored ex situ (number),127
