Year,Series,Value
2010,Education,13.6
2011,Education,13.4
2012,Education,13.4
2013,Education,13.6
2014,Education,13.3
2015,Education,13.2
2016,Education,14.1
2017,Education,13.5
2018,Education,13.8
2019,Education,14.1
2020,Education,12.5
2021,Education,12.7
2010,Health,12.7
2011,Health,12.8
2012,Health,12.7
2013,Health,13.4
2014,Health,13.7
2015,Health,14.0
2016,Health,14.6
2017,Health,14.8
2018,Health,14.2
2019,Health,14.5
2020,Health,15.7
2021,Health,15.3
2010,Social protection,33.1
2011,Social protection,32.5
2012,Social protection,32.4
2013,Social protection,32.5
2014,Social protection,31.5
2015,Social protection,29.9
2016,Social protection,31.3
2017,Social protection,31.1
2018,Social protection,29.1
2019,Social protection,28.7
2020,Social protection,26.1
2021,Social protection,25.2
2010,Total,59.3
2011,Total,58.7
2012,Total,58.5
2013,Total,59.5
2014,Total,58.6
2015,Total,57.2
2016,Total,60.0
2017,Total,59.4
2018,Total,57.2
2019,Total,57.2
2020,Total,54.3
2021,Total,53.1
