Year,Series,Value
2010,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.44
2011,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.0
2012,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.29
2013,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.29
2014,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.0
2015,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.3
2016,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.3
2017,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.1
2018,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.1
2019,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.09
2020,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.09
2021,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.0
2010,"Adolescent birth rate (per 1,000 women aged 15-19 years)",18.87
2011,"Adolescent birth rate (per 1,000 women aged 15-19 years)",17.15
2012,"Adolescent birth rate (per 1,000 women aged 15-19 years)",17.11
2013,"Adolescent birth rate (per 1,000 women aged 15-19 years)",13.54
2014,"Adolescent birth rate (per 1,000 women aged 15-19 years)",13.23
2015,"Adolescent birth rate (per 1,000 women aged 15-19 years)",11.41
2016,"Adolescent birth rate (per 1,000 women aged 15-19 years)",13.07
2017,"Adolescent birth rate (per 1,000 women aged 15-19 years)",12.45
2018,"Adolescent birth rate (per 1,000 women aged 15-19 years)",12.04
2019,"Adolescent birth rate (per 1,000 women aged 15-19 years)",11.88
2020,"Adolescent birth rate (per 1,000 women aged 15-19 years)",11.04
2021,"Adolescent birth rate (per 1,000 women aged 15-19 years)",10.19
