Year,Value,Series
2010,100.0,Proportion of population using basic drinking water services
2011,100.0,Proportion of population using basic drinking water services
2012,100.0,Proportion of population using basic drinking water services
2013,100.0,Proportion of population using basic drinking water services
2014,100.0,Proportion of population using basic drinking water services
2015,100.0,Proportion of population using basic drinking water services
2016,100.0,Proportion of population using basic drinking water services
2017,100.0,Proportion of population using basic drinking water services
2018,100.0,Proportion of population using basic drinking water services
2019,100.0,Proportion of population using basic drinking water services
2020,100.0,Proportion of population using basic drinking water services
2021,100.0,Proportion of population using basic drinking water services
2022,100.0,Proportion of population using basic drinking water services
2000,99.96536,Proportion of population using basic sanitation services
2001,99.96526,Proportion of population using basic sanitation services
2002,99.96516,Proportion of population using basic sanitation services
2003,99.96506,Proportion of population using basic sanitation services
2004,99.96497,Proportion of population using basic sanitation services
2005,99.96488,Proportion of population using basic sanitation services
2006,99.96483,Proportion of population using basic sanitation services
2007,99.9648,Proportion of population using basic sanitation services
2008,99.96477,Proportion of population using basic sanitation services
2009,99.96475,Proportion of population using basic sanitation services
2010,99.96472,Proportion of population using basic sanitation services
2011,99.96469,Proportion of population using basic sanitation services
2012,99.96467,Proportion of population using basic sanitation services
2013,99.96464,Proportion of population using basic sanitation services
2014,99.96462,Proportion of population using basic sanitation services
2015,99.96459,Proportion of population using basic sanitation services
2016,99.96457,Proportion of population using basic sanitation services
2017,99.96455,Proportion of population using basic sanitation services
2018,99.96452,Proportion of population using basic sanitation services
2019,99.9645,Proportion of population using basic sanitation services
2020,99.96447,Proportion of population using basic sanitation services
2021,99.96445,Proportion of population using basic sanitation services
2022,99.96442,Proportion of population using basic sanitation services
